circulating_supply,currency,inflation,inflation_total,real_yield,staked_supply,staking_rate,timestamp,total_supply,yield,open,high,low,close,volume,market_cap
245489530,Cosmos,0.069614,0.069614,0.02444,178472824,0.72701,2019-10-08T23:52:43.502122,245489530,0.09575,2.91,3.06,2.84,2.91,143729013,555690359
245442740,Cosmos,0.069847,0.069847,0.02454,178382340,0.72678,2019-10-07T23:52:32.744501,245442740,0.0961,2.67,2.95,2.59,2.91,116735139,554766043
245395810,Cosmos,0.069964,0.069964,0.02457,178375707,0.72689,2019-10-06T23:52:34.259748,245395810,0.09625,2.75,2.77,2.61,2.67,99964727,508541850
245348803,Cosmos,0.070024,0.070024,0.02459,178329368,0.72684,2019-10-05T23:52:41.519386,245348803,0.09634,2.59,2.77,2.56,2.75,105799482,523752708
245301750,Cosmos,0.069788,0.069788,0.02456,178212195,0.7265,2019-10-04T23:52:32.398406,245301750,0.09606,2.58,2.62,2.5,2.59,93827667,493133634
245254941,Cosmos,0.070009,0.070009,0.02482,177804443,0.72498,2019-10-03T23:54:02.671293,245254941,0.09657,2.61,2.66,2.52,2.58,112791728,492272917
245207909,Cosmos,0.069756,0.069756,0.02478,177684413,0.72463,2019-10-02T23:52:46.156483,245207909,0.09626,2.55,2.62,2.44,2.6,116200106,496552363
245161065,Cosmos,0.069645,0.069645,0.02466,177807741,0.72527,2019-10-01T23:52:53.062186,245161065,0.09603,2.65,2.65,2.49,2.55,118931113,486332754
245114289,Cosmos,0.069648,0.069648,0.02677,173706998,0.70868,2019-09-30T23:52:53.361054,245114289,0.09828,2.21,2.65,2.19,2.63,136780367,501571355
245067509,Cosmos,0.069323,0.069323,0.02661,173740056,0.70895,2019-09-29T23:52:53.208259,245067509,0.09778,2.28,2.29,2.12,2.21,106690215,420753478
245020949,Cosmos,0.069339,0.069339,0.02671,173528981,0.70822,2019-09-28T23:52:39.018000,245020949,0.09791,2.29,2.31,2.21,2.28,96812584,435186653
244974470,Cosmos,0.070036,0.070036,0.02694,173535037,0.70838,2019-09-27T23:52:58.459112,244974470,0.09887,2.22,2.29,2.17,2.29,113206441,436934670
244927531,Cosmos,0.070081,0.070081,0.02715,173143158,0.70692,2019-09-26T23:52:59.826120,244927531,0.09914,2.3,2.35,2.09,2.22,140448613,423708570
244880551,Cosmos,0.069602,0.069602,0.027,173065690,0.70674,2019-09-25T23:52:57.546709,244880551,0.09848,2.23,2.42,2.16,2.3,177658028,439268852
244833890,Cosmos,0.063987,0.063987,0.02443,174115915,0.71116,2019-09-24T23:52:46.950000,244833890,0.08998,2.58,2.66,2.09,2.24,188249041,427485956
244791736,Cosmos,0.070012,0.070012,0.0273,172723504,0.70559,2019-09-23T23:53:06.749220,244791736,0.09922,2.92,2.92,2.58,2.58,129682436,491987769
2.45E+14,Cosmos,0.07035,0.07035,0.02698,1.74E+14,0.70899,2019-09-22T12:00:09.503313,2.45E+14,0.09923,3.07,3.08,2.81,2.91,140188584,555000113
